serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
37,2026-01-27,I-21/15/2026-W&M Section,SINGHA SCALES,Non-automatic weighing instrument,37,23673,https://lm.doca.gov.in/ModelApproval/Certificates/2026/37.pdf
38,2026-01-27,I-21/18/2026-W&M Section,KALLAPPA PIRGONDA KOLI,Non-automatic weighing instrument,38,23548,https://lm.doca.gov.in/ModelApproval/Certificates/2026/38.pdf
39,2026-01-27,I-21/330/2025-W&M Section,ENDEAVOUR INSTRUMENT PRIVATE LIMITED,Catch Weighing Instrument (Check Weigher),39,23327,https://lm.doca.gov.in/ModelApproval/Certificates/2026/39.pdf
40,2026-01-28,I-21/12/2026-W&M Section,ABINASH DIGITAL SCALES,Non-automatic weighing instrument,40,23613,https://lm.doca.gov.in/ModelApproval/Certificates/2026/40.pdf
41,2026-01-28,I-21/12/2026-W&M Section,ABINASH DIGITAL SCALES,Non-automatic weighing instrument,23614,23614,https://lm.doca.gov.in/ModelApproval/Certificates/2026/23614.pdf
42,2026-01-28,I-21/20/2026-W&M Section,VIGNESH ENGINEERING SYSTEMS,Non-automatic weighing instrument,42,23674,https://lm.doca.gov.in/ModelApproval/Certificates/2026/42.pdf
43,2026-01-29,I-21/24/2026-W&M Section,CELTRONIC AUTOMATION PRIVATE LIMITED,Non-automatic weighing instrument,43,23493,https://lm.doca.gov.in/ModelApproval/Certificates/2026/43.pdf
44,2026-01-29,I-21/25/2026-W&M Section,MAHADEV ENGINEERING WORKS SALES AND SERVICE,Non-automatic weighing instrument,44,23813,https://lm.doca.gov.in/ModelApproval/Certificates/2026/44.pdf
45,2026-01-29,I-21/25/2026-W&M Section,MAHADEV ENGINEERING WORKS SALES AND SERVICE,Non-automatic weighing instrument,45,23814,https://lm.doca.gov.in/ModelApproval/Certificates/2026/45.pdf
46,2026-01-29,I-21/26/2026-W&M Section,TRU-BALANCE INDUSTRY,Non-automatic weighing instrument,46,23823,https://lm.doca.gov.in/ModelApproval/Certificates/2026/46.pdf
47,2026-01-29,I-21/26/2026-W&M Section,TRU-BALANCE INDUSTRY,Non-automatic weighing instrument,47,23824,https://lm.doca.gov.in/ModelApproval/Certificates/2026/47.pdf
48,2026-01-30,I-21/29/2026-W&M Section,FLSMIDTH CEMENT INDIA LLP,Automatic Gravimetric Filling Instrument,48,23832,https://lm.doca.gov.in/ModelApproval/Certificates/2026/48.pdf
49,2026-01-30,I-21/28/2026-W&M Section,GEN X INTERNATIONAL,Non-automatic weighing instrument,49,23774,https://lm.doca.gov.in/ModelApproval/Certificates/2026/49.pdf
50,2026-01-30,I-21/21/2026-W&M Section,CHUGH SCALES PRIVATE LIMITED,Non-automatic weighing instrument,50,23641,https://lm.doca.gov.in/ModelApproval/Certificates/2026/50.pdf
51,2026-02-03,I-21/30/2026-W&M Section,ACCURATE ELECTRONICS,Non-automatic weighing instrument,51,23815,https://lm.doca.gov.in/ModelApproval/Certificates/2026/51.pdf
52,2026-02-03,I-21/30/2026-W&M Section,ACCURATE ELECTRONICS,Non-automatic weighing instrument,52,23816,https://lm.doca.gov.in/ModelApproval/Certificates/2026/52.pdf
53,2026-02-03,I-21/356/2025-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Non-automatic weighing instrument,53,23462,https://lm.doca.gov.in/ModelApproval/Certificates/2026/53.pdf
54,2026-02-03,I-21/31/2026-W&M Section,RADIANT ELECTRONICS,Non-automatic weighing instrument,54,23453,https://lm.doca.gov.in/ModelApproval/Certificates/2026/54.pdf
55,2026-02-03,I-21/31/2026-W&M Section,RADIANT ELECTRONICS,Non-automatic weighing instrument,55,23625,https://lm.doca.gov.in/ModelApproval/Certificates/2026/55.pdf
56,2026-02-06,I-21/33/2026-W&M Section,THAMES SIDE SENSORS INDIA PRIVATE LIMITED,Non-automatic weighing instrument,56,23838,https://lm.doca.gov.in/ModelApproval/Certificates/2026/56.pdf
57,2026-02-09,I-21/34/2026-W&M Section,OMRON HEALTHCARE INDIA PRIVATE LIMITED,Sphygmomanometer (Blood Pressure Meter),57,23664,https://lm.doca.gov.in/ModelApproval/Certificates/2026/57.pdf
58,2026-02-09,I-21/368/2025-W&M Section,INTERVET INDIA PRIVATE LIMITED,Non-automatic weighing instrument,58,23547,https://lm.doca.gov.in/ModelApproval/Certificates/2026/58.pdf
59,2026-02-10,I-21/35/2026-W&M Section,H.P.S INDUSTRIES,Non-automatic weighing instrument,59,23782,https://lm.doca.gov.in/ModelApproval/Certificates/2026/59.pdf
60,2026-02-10,I-21/35/2026-W&M Section,H.P.S INDUSTRIES,Non-automatic weighing instrument,60,23783,https://lm.doca.gov.in/ModelApproval/Certificates/2026/60.pdf
61,2026-02-11,I-21/37/2026-W&M Section,INDUS WEIGHING SYSTEMS PRIVATE LIMITED,Non-automatic weighing instrument,61,23812,https://lm.doca.gov.in/ModelApproval/Certificates/2026/61.pdf
62,2026-02-12,I-21/11/2026-W&M Section,VISHWAKARMA SERVICES,Non-automatic weighing instrument,62,23799,https://lm.doca.gov.in/ModelApproval/Certificates/2026/62.pdf
63,2026-02-12,I-21/11/2026-W&M Section,VISHWAKARMA SERVICES,Non-automatic weighing instrument,63,23800,https://lm.doca.gov.in/ModelApproval/Certificates/2026/63.pdf
64,2026-02-17,I-21/40/2026-W&M Section,"M/S,HILAL SCALE COMPANY",Non-automatic weighing instrument,64,23779,https://lm.doca.gov.in/ModelApproval/Certificates/2026/64.pdf
65,2026-02-17,I-21/40/2026-W&M Section,"M/S,HILAL SCALE COMPANY",Non-automatic weighing instrument,65,23780,https://lm.doca.gov.in/ModelApproval/Certificates/2026/65.pdf
66,2026-02-19,I-21/44/2026-W&M Section,AKAR CONTROLS,Non-automatic weighing instrument,66,23683,https://lm.doca.gov.in/ModelApproval/Certificates/2026/66.pdf
67,2026-02-19,I-21/44/2026-W&M Section,AKAR CONTROLS,Non-automatic weighing instrument,67,23690,https://lm.doca.gov.in/ModelApproval/Certificates/2026/67.pdf
68,2026-02-19,I-21/44/2026-W&M Section,AKAR CONTROLS,Non-automatic weighing instrument,68,23696,https://lm.doca.gov.in/ModelApproval/Certificates/2026/68.pdf
69,2026-02-20,I-21/41/2026-W&M Section,E.G Kantawalla Pvt Ltd,Non-automatic weighing instrument,69,23361,https://lm.doca.gov.in/ModelApproval/Certificates/2026/69.pdf
70,2026-02-20,I-21/46/2025-W&M Section,DIAMOND SALES,Non-automatic weighing instrument,70,23904,https://lm.doca.gov.in/ModelApproval/Certificates/2026/70.pdf
71,2026-02-20,I-21/43/2026-W&M Section,Lars Marketing,Table top Type,71,23802,https://lm.doca.gov.in/ModelApproval/Certificates/2026/71.pdf
72,2026-02-24,21/317/2025,APPLE WEIGHINFRA LIMITED,Non-automatic weighing instrument,72,23391,https://lm.doca.gov.in/ModelApproval/Certificates/2026/72.pdf
73,2026-02-24,21/22/2026,KANIMOZHI WEIGHING INDUSTRIES,Non-automatic weighing instrument,73,23645,https://lm.doca.gov.in/ModelApproval/Certificates/2026/73.pdf
74,2026-02-24,21/22/2026,KANIMOZHI WEIGHING INDUSTRIES,Non-automatic weighing instrument,74,23646,https://lm.doca.gov.in/ModelApproval/Certificates/2026/74.pdf
75,2026-02-24,21/22/2026,KANIMOZHI WEIGHING INDUSTRIES,Non-automatic weighing instrument,75,23647,https://lm.doca.gov.in/ModelApproval/Certificates/2026/75.pdf
76,2026-02-24,21/22/2026,KANIMOZHI WEIGHING INDUSTRIES,Non-automatic weighing instrument,76,23648,https://lm.doca.gov.in/ModelApproval/Certificates/2026/76.pdf
77,2026-02-24,21/47/2026,TRC POWER TECH,Non-automatic weighing instrument,77,23818,https://lm.doca.gov.in/ModelApproval/Certificates/2026/77.pdf
78,2026-02-24,21/19/2026,ACCUMET SOLUTIONS,Water Meter,78,23636,https://lm.doca.gov.in/ModelApproval/Certificates/2026/78.pdf
79,2026-02-24,21/19/2026,ACCUMET SOLUTIONS,Water Meter,79,23635,https://lm.doca.gov.in/ModelApproval/Certificates/2026/79.pdf
80,2026-02-24,21/32/2026,GROZ ENGINEERING TOOLS PRIVATE LIMITED,Measuring Systems for Liquids Other than Water,80,23796,https://lm.doca.gov.in/ModelApproval/Certificates/2026/80.pdf
81,2026-02-27,I-21/17/2026-W&M Section,LUCKEY ELECTRONIC WEIGHING SCALE,Non-automatic weighing instrument,81,23455,https://lm.doca.gov.in/ModelApproval/Certificates/2026/81.pdf
82,2026-03-02,I-21/54/2026-W&M Section,TEDAE INDUSTRIES,Non-automatic weighing instrument,82,23851,https://lm.doca.gov.in/ModelApproval/Certificates/2026/82.pdf
83,2026-03-02,I-21/54/2026-W&M Section,TEDAE INDUSTRIES,Non-automatic weighing instrument,83,23852,https://lm.doca.gov.in/ModelApproval/Certificates/2026/83.pdf
84,2026-03-02,I-21/53/2026-W&M Section,DIAMOND SALES,Non-automatic weighing instrument,84,23905,https://lm.doca.gov.in/ModelApproval/Certificates/2026/84.pdf
85,2026-03-03,I-21/51/2026-W&M Section,"M/S, WEIGHT PRO INSTRUMENT",Non-automatic weighing instrument,85,23884,https://lm.doca.gov.in/ModelApproval/Certificates/2026/85.pdf
86,2026-03-03,I-21/51/2026-W&M Section,"M/S, WEIGHT PRO INSTRUMENT",Non-automatic weighing instrument,86,23883,https://lm.doca.gov.in/ModelApproval/Certificates/2026/86.pdf
87,2026-03-03,I-21/56/2026-W&M Section,E.G Kantawalla Pvt Ltd,Non-automatic weighing instrument,87,23352,https://lm.doca.gov.in/ModelApproval/Certificates/2026/87.pdf
88,2026-03-03,I-21/36/2026-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Non-automatic weighing instrument,88,23580,https://lm.doca.gov.in/ModelApproval/Certificates/2026/88.pdf
89,2026-03-03,I-21/60/2026-W&M Section,MEHTA ENTERPRISES,Non-automatic weighing instrument,89,23837,https://lm.doca.gov.in/ModelApproval/Certificates/2026/89.pdf
90,2026-03-03,I-21/61/2026-W&M Section,KWALITY WEIGH (INDIA),Non-automatic weighing instrument,90,23864,https://lm.doca.gov.in/ModelApproval/Certificates/2026/90.pdf
91,2026-03-05,I-21/27/2026-W&M Section,HINDALCO INDUSTRIES LIMITED,Automatic Gravimetric Filling Instrument,91,23831,https://lm.doca.gov.in/ModelApproval/Certificates/2026/91.pdf
92,2026-03-05,I-21/39/2026-W&M Section,M/s. Jay Instruments And Systems Private Limited,Electronic Tank Weighing type,92,18727,https://lm.doca.gov.in/ModelApproval/Certificates/2026/92.pdf
93,2026-03-05,I-21/39/2026-W&M Section,M/s. Jay Instruments And Systems Private Limited,Electronic Tank Weighing type,93,18728,https://lm.doca.gov.in/ModelApproval/Certificates/2026/93.pdf
94,2026-03-05,I-21/21/2026-W&M Section,CHUGH SCALES PRIVATE LIMITED,Non-automatic weighing instrument,94,23640,https://lm.doca.gov.in/ModelApproval/Certificates/2026/94.pdf
95,2026-03-06,I-21/50/2026-W&M Section,H. ENTERPRISES,Any other Weight or Measure,95,23855,https://lm.doca.gov.in/ModelApproval/Certificates/2026/95.pdf
96,2026-03-06,I-21/50/2026-W&M Section,H. ENTERPRISES,Any other Weight or Measure,96,23856,https://lm.doca.gov.in/ModelApproval/Certificates/2026/96.pdf
97,2026-03-06,I-21/64/2026-W&M Section,DIAMOND SALES,Non-automatic weighing instrument,97,23979,https://lm.doca.gov.in/ModelApproval/Certificates/2026/97.pdf
98,2026-03-09,I-21/55/2026-W&M Section,ELSTER-INSTROMET INDIA PRIVATE LIMITED,Gas Meters,98,23881,https://lm.doca.gov.in/ModelApproval/Certificates/2026/98.pdf
99,2026-03-09,I-21/57/2026-W&M Section,HONEYWELL AUTOMATION INDIA LIMITED,Gas Meters,99,23880,https://lm.doca.gov.in/ModelApproval/Certificates/2026/99.pdf
100,2026-03-10,I-21/42/2026-W&M Section,M/S KUMAR SYSTEM,Automatic Instruments for weighing road vehicles in-motion and measuring axle loads,100,23411,https://lm.doca.gov.in/ModelApproval/Certificates/2026/100.pdf
101,2026-03-10,I-21/62/2026-W&M Section,VIGNESH ENGINEERING SYSTEMS,Non-automatic weighing instrument,101,23680,https://lm.doca.gov.in/ModelApproval/Certificates/2026/101.pdf
102,2026-03-10,I-21/62/2026-W&M Section,VIGNESH ENGINEERING SYSTEMS,Non-automatic weighing instrument,102,23682,https://lm.doca.gov.in/ModelApproval/Certificates/2026/102.pdf
103,2026-03-10,I-21/62/2026-W&M Section,VIGNESH ENGINEERING SYSTEMS,Non-automatic weighing instrument,103,23686,https://lm.doca.gov.in/ModelApproval/Certificates/2026/103.pdf
104,2026-03-10,I-21/58/2026-W&M Section,PEPSICO INDIA HOLDINGS PRIVATE LIMITED,Catch Weighing Instrument (Check Weigher),104,23833,https://lm.doca.gov.in/ModelApproval/Certificates/2026/104.pdf
105,2026-03-12,I-21/63/2026-W&M Section,DIAMOND SALES,Non-automatic weighing instrument,105,23656,https://lm.doca.gov.in/ModelApproval/Certificates/2026/105.pdf
106,2026-03-12,I-21/67/2026-W&M Section,ESKAY WEIGHING SYSTEMS LLP,Non-automatic weighing instrument,106,23685,https://lm.doca.gov.in/ModelApproval/Certificates/2026/106.pdf
107,2026-03-13,I-21/72/2026-W&M Section,OHAUS WEIGHING INDIA PRIVATE LIMITED,Non-automatic weighing instrument,107,23857,https://lm.doca.gov.in/ModelApproval/Certificates/2026/107.pdf
108,2026-03-13,I-21/72/2026-W&M Section,OHAUS WEIGHING INDIA PRIVATE LIMITED,Non-automatic weighing instrument,108,23858,https://lm.doca.gov.in/ModelApproval/Certificates/2026/108.pdf
109,2026-03-13,I-21/52/2026-W&M Section,SHRIYAN INNOVATIVE,Non-automatic weighing instrument,109,23871,https://lm.doca.gov.in/ModelApproval/Certificates/2026/109.pdf
110,2026-03-13,I-21/52/2026-W&M Section,SHRIYAN INNOVATIVE,Non-automatic weighing instrument,110,23872,https://lm.doca.gov.in/ModelApproval/Certificates/2026/110.pdf
111,2026-03-13,I-21/66/2026-W&M Section,SANSUI ELECTRONICS,Non-automatic weighing instrument,111,23878,https://lm.doca.gov.in/ModelApproval/Certificates/2026/111.pdf
112,2026-03-13,I-21/66/2026-W&M Section,SANSUI ELECTRONICS,Non-automatic weighing instrument,112,23879,https://lm.doca.gov.in/ModelApproval/Certificates/2026/112.pdf
113,2026-03-13,I-21/73/2026-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Non-automatic weighing instrument,113,23459,https://lm.doca.gov.in/ModelApproval/Certificates/2026/113.pdf
114,2026-03-13,I-21/74/2026-W&M Section,ABINASH DIGITAL SCALES,Non-automatic weighing instrument,114,23612,https://lm.doca.gov.in/ModelApproval/Certificates/2026/114.pdf
115,2026-03-13,I-21/75/2026-W&M Section,GIRISH CHANDRA GHOSH & G.G.S.,Liquor measures,115,23414,https://lm.doca.gov.in/ModelApproval/Certificates/2026/115.pdf
116,2026-03-13,I-21/59/2026-W&M Section,A&D INSTRUMENTS INDIA PRIVATE LIMITED,Non-automatic weighing instrument,116,23658,https://lm.doca.gov.in/ModelApproval/Certificates/2026/116.pdf
117,2026-03-13,I-21/59/2026-W&M Section,A&D INSTRUMENTS INDIA PRIVATE LIMITED,Non-automatic weighing instrument,117,23659,https://lm.doca.gov.in/ModelApproval/Certificates/2026/117.pdf
118,2026-03-13,I-21/77/2026-W&M Section,APPLE WEIGHINFRA LIMITED,Non-automatic weighing instrument,118,23393,https://lm.doca.gov.in/ModelApproval/Certificates/2026/118.pdf
119,2026-03-18,I-21/79/2026-W&M Section,JOY BABA LOKENATH TRADING,Non-automatic weighing instrument,119,23901,https://lm.doca.gov.in/ModelApproval/Certificates/2026/119.pdf
120,2026-03-18,I-21/79/2026-W&M Section,JOY BABA LOKENATH TRADING,Non-automatic weighing instrument,120,23902,https://lm.doca.gov.in/ModelApproval/Certificates/2026/120.pdf
121,2026-03-18,I-21/79/2026-W&M Section,JOY BABA LOKENATH TRADING,Non-automatic weighing instrument,121,23903,https://lm.doca.gov.in/ModelApproval/Certificates/2026/121.pdf
122,2026-03-18,I-21/79/2026-W&M Section,JOY BABA LOKENATH TRADING,Non-automatic weighing instrument,122,23984,https://lm.doca.gov.in/ModelApproval/Certificates/2026/122.pdf
123,2026-03-20,I-21/70/2026-W&M Section,VISION WORLDTECH PRIVATE LIMITED,Flow Meters,123,23551,https://lm.doca.gov.in/ModelApproval/Certificates/2026/123.pdf
124,2026-03-20,I-21/80/2026-W&M Section,YORKER ENGINEERING PRIVATE LIMITED,Measuring tape,124,23893,https://lm.doca.gov.in/ModelApproval/Certificates/2026/124.pdf
125,2026-03-20,I-21/80/2026-W&M Section,YORKER ENGINEERING PRIVATE LIMITED,Measuring tape,125,23894,https://lm.doca.gov.in/ModelApproval/Certificates/2026/125.pdf
126,2026-03-20,I-21/80/2026-W&M Section,YORKER ENGINEERING PRIVATE LIMITED,Measuring tape,126,23895,https://lm.doca.gov.in/ModelApproval/Certificates/2026/126.pdf
127,2026-03-24,I-21/45/2026-W&M Section,KRISHNA ENTERPRISES,Non-automatic weighing instrument,127,18497,https://lm.doca.gov.in/ModelApproval/Certificates/2026/127.pdf
128,2026-03-24,I-21/78/2026-W&M Section,SPAN TECHNOLOGIES,Non-automatic weighing instrument,128,23887,https://lm.doca.gov.in/ModelApproval/Certificates/2026/128.pdf
129,2026-03-24,I-21/78/2026-W&M Section,SPAN TECHNOLOGIES,Any other Weight or Measure,129,23889,https://lm.doca.gov.in/ModelApproval/Certificates/2026/129.pdf
130,2026-03-24,I-21/78/2026-W&M Section,SPAN TECHNOLOGIES,Any other Weight or Measure,130,23890,https://lm.doca.gov.in/ModelApproval/Certificates/2026/130.pdf
131,2026-03-24,I-21/83/2026-W&M Section,OCEAN KING INTERNATIONAL,Non-automatic weighing instrument,131,23899,https://lm.doca.gov.in/ModelApproval/Certificates/2026/131.pdf
132,2026-03-25,I-21/65/2026-W&M Section,APPLE METER MANUFACTURING COMPANY,Auto Rickshaw and Taxi Meter,132,23623,https://lm.doca.gov.in/ModelApproval/Certificates/2026/132.pdf
133,2026-03-25,I-21/65/2026-W&M Section,APPLE METER MANUFACTURING COMPANY,Auto Rickshaw and Taxi Meter,133,23624,https://lm.doca.gov.in/ModelApproval/Certificates/2026/133.pdf
134,2026-03-27,I-21/88/2026-W&M Section,A&D INSTRUMENTS INDIA PRIVATE LIMITED,Non-automatic weighing instrument,134,23797,https://lm.doca.gov.in/ModelApproval/Certificates/2026/134.pdf
135,2026-03-27,I-21/84/2026-W&M Section,J.M.KATAWALA,Non-automatic weighing instrument,135,23834,https://lm.doca.gov.in/ModelApproval/Certificates/2026/135.pdf
136,2026-03-27,I-21/84/2026-W&M Section,J.M.KATAWALA,Non-automatic weighing instrument,136,23841,https://lm.doca.gov.in/ModelApproval/Certificates/2026/136.pdf
137,2026-03-27,I-21/76/2026-W&M Section,FLEXO PACK MACHINES PRIVATE LIMITED,Any other Weight or Measure,137,22111,https://lm.doca.gov.in/ModelApproval/Certificates/2026/137.pdf
138,2026-03-27,I-21/48/2026-W&M Section,FLOW METERING TECHNOLOGY PRIVATE LIMITED,Gas Meters,138,23331,https://lm.doca.gov.in/ModelApproval/Certificates/2026/138.pdf
139,2026-03-30,I-21/85/2026,KRAB INTERNATIONAL,Non-automatic weighing instrument,139,23974,https://lm.doca.gov.in/ModelApproval/Certificates/2026/139.pdf
140,2026-03-30,I-21/85/2026,KRAB INTERNATIONAL,Non-automatic weighing instrument,140,23973,https://lm.doca.gov.in/ModelApproval/Certificates/2026/140.pdf
141,2026-03-30,I-21/85/2026,KRAB INTERNATIONAL,Non-automatic weighing instrument,141,23972,https://lm.doca.gov.in/ModelApproval/Certificates/2026/141.pdf
142,2026-03-30,I-21/89/2026,ARCHERCHEM INSTRUMENTS,Non-automatic weighing instrument,142,23675,https://lm.doca.gov.in/ModelApproval/Certificates/2026/142.pdf
143,2026-03-30,I-21/85/2026,KRAB INTERNATIONAL,Non-automatic weighing instrument,143,24010,https://lm.doca.gov.in/ModelApproval/Certificates/2026/143.pdf
144,2026-04-02,I-21/90/2026-W&M Section,DIGITA COMPUTE SERVICE,Non-automatic weighing instrument,144,14041,https://lm.doca.gov.in/ModelApproval/Certificates/2026/144.pdf
145,2026-04-02,I-21/90/2026-W&M Section,Digita Compute Servce,Non-automatic weighing instrument,145,14008,https://lm.doca.gov.in/ModelApproval/Certificates/2026/145.pdf
146,2026-04-01,I-21/93/2026-W&M Section,BHAVANI SCALES,Non-automatic weighing instrument,146,23962,https://lm.doca.gov.in/ModelApproval/Certificates/2026/146.pdf
147,2026-04-02,I-21/94/2026-W&M Section,GIYANA INDUSTRIES PRIVATE LIMITED,Measuring tape,147,23999,https://lm.doca.gov.in/ModelApproval/Certificates/2026/147.pdf
148,2026-04-02,I-21/94/2026-W&M Section,GIYANA INDUSTRIES PRIVATE LIMITED,Any other Weight or Measure,148,24032,https://lm.doca.gov.in/ModelApproval/Certificates/2026/148.pdf
149,2026-04-06,I-21/81/2026-W&M Section,EMMPPE ASSOCIATES,Automatic Gravimetric Filling Instrument,149,23829,https://lm.doca.gov.in/ModelApproval/Certificates/2026/149.pdf
150,2026-04-06,I-21/81/2026-W&M Section,EMMPPE ASSOCIATES,Automatic Gravimetric Filling Instrument,150,23828,https://lm.doca.gov.in/ModelApproval/Certificates/2026/150.pdf
151,2026-04-06,I-21/98/2026-W&M Section,MEDI FLEX OMNI PRIVATE LIMITED,Sphygmomanometer (Blood Pressure Meter),151,22048,https://lm.doca.gov.in/ModelApproval/Certificates/2026/151.pdf
152,2026-04-07,I-21/71/2026-W&M Section,TRC POWER TECH,Non-automatic weighing instrument,152,23819,https://lm.doca.gov.in/ModelApproval/Certificates/2026/152.pdf
153,2026-04-07,I-21/99/2026-W&M Section,RAJ ENGG INDUSTRIES,Non-automatic weighing instrument,153,24016,https://lm.doca.gov.in/ModelApproval/Certificates/2026/153.pdf
154,2026-04-07,I-21/100/2026-W&M Section,ZEEKERS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Non-automatic weighing instrument,154,23958,https://lm.doca.gov.in/ModelApproval/Certificates/2026/154.pdf
155,2026-04-07,I-21/95/2026-W&M Section,M.V.Agency.,Non-automatic weighing instrument,155,23891,https://lm.doca.gov.in/ModelApproval/Certificates/2026/155.pdf
156,2026-04-07,I-21/95/2026-W&M Section,M.V.Agency.,Non-automatic weighing instrument,156,23892,https://lm.doca.gov.in/ModelApproval/Certificates/2026/156.pdf
157,2026-04-07,I-21/86/2026-W&M Section,B TECH ENGINEERING WORKS,Non-automatic weighing instrument,157,23842,https://lm.doca.gov.in/ModelApproval/Certificates/2026/157.pdf
158,2026-04-07,I-21/86/2026-W&M Section,B TECH ENGINEERING WORKS,Non-automatic weighing instrument,158,23849,https://lm.doca.gov.in/ModelApproval/Certificates/2026/158.pdf
159,2026-04-07,I-21/86/2026-W&M Section,B TECH ENGINEERING WORKS,Non-automatic weighing instrument,159,23843,https://lm.doca.gov.in/ModelApproval/Certificates/2026/159.pdf
160,2026-04-07,I-21/68/2026-W&M Section,POWER SOURCE,Non-automatic weighing instrument,160,23784,https://lm.doca.gov.in/ModelApproval/Certificates/2026/160.pdf
161,2026-04-07,I-21/68/2026-W&M Section,POWER SOURCE,Non-automatic weighing instrument,161,23785,https://lm.doca.gov.in/ModelApproval/Certificates/2026/161.pdf
162,2026-04-08,I-21/69/2026-W&M Section,TETRA-PAK INDIA PRIVATE LIMITED,Catch Weighing Instrument (Check Weigher),162,23778,https://lm.doca.gov.in/ModelApproval/Certificates/2026/162.pdf
163,2026-04-13,I-21/92/2026-W&M Section,HONEYWELL AUTOMATION INDIA LIMITED,Gas Meters,163,24012,https://lm.doca.gov.in/ModelApproval/Certificates/2026/163.pdf
164,2026-04-13,I-21/97/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,164,23395,https://lm.doca.gov.in/ModelApproval/Certificates/2026/164.pdf
165,2026-04-13,I-21/97/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,165,23396,https://lm.doca.gov.in/ModelApproval/Certificates/2026/165.pdf
166,2026-04-13,I-21/97/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,166,23397,https://lm.doca.gov.in/ModelApproval/Certificates/2026/166.pdf
167,2026-04-13,I-21/97/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,167,23398,https://lm.doca.gov.in/ModelApproval/Certificates/2026/167.pdf
168,2026-04-13,I-21/97/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,168,23399,https://lm.doca.gov.in/ModelApproval/Certificates/2026/168.pdf
169,2026-04-13,I-21/104/2026-W&M Section,AASSH ENTERPRISES,Non-automatic weighing instrument,169,23284,https://lm.doca.gov.in/ModelApproval/Certificates/2026/169.pdf
170,2026-04-13,I-21/104/2026-W&M Section,AASSH ENTERPRISES,Non-automatic weighing instrument,170,23291,https://lm.doca.gov.in/ModelApproval/Certificates/2026/170.pdf
171,2026-04-15,I-21/107/2026-W&M Section,TRIDENT SYSTEMS,Auto Rickshaw and Taxi Meter,171,23886,https://lm.doca.gov.in/ModelApproval/Certificates/2026/171.pdf
172,2026-04-15,I-21/103/2026-W&M Section,SANDHYA SCALE WORKS,Non-automatic weighing instrument,172,24017,https://lm.doca.gov.in/ModelApproval/Certificates/2026/172.pdf
173,2026-04-15,I-21/103/2026-W&M Section,SANDHYA SCALE WORKS,Non-automatic weighing instrument,173,24018,https://lm.doca.gov.in/ModelApproval/Certificates/2026/173.pdf
174,2026-04-16,I-21/109/2026-W&M Section,UB TRADERS,Non-automatic weighing instrument,174,23853,https://lm.doca.gov.in/ModelApproval/Certificates/2026/174.pdf
175,2026-04-16,I-21/109/2026-W&M Section,UB TRADERS,Non-automatic weighing instrument,175,23846,https://lm.doca.gov.in/ModelApproval/Certificates/2026/175.pdf
176,2026-04-17,I-21/108/2026-W&M Section,GLOBAL TECHNOLOGIES,Non-automatic weighing instrument,176,23822,https://lm.doca.gov.in/ModelApproval/Certificates/2026/176.pdf
177,2026-04-17,I-21/108/2026-W&M Section,GLOBAL TECHNOLOGIES,Non-automatic weighing instrument,177,23908,https://lm.doca.gov.in/ModelApproval/Certificates/2026/177.pdf
178,2026-04-20,I-21/112/2026-W&M Section,INTECH ENTERPRISES,Non-automatic weighing instrument,178,23825,https://lm.doca.gov.in/ModelApproval/Certificates/2026/178.pdf
179,2026-04-20,I-21/112/2026-W&M Section,INTECH ENTERPRISES,Non-automatic weighing instrument,179,23826,https://lm.doca.gov.in/ModelApproval/Certificates/2026/179.pdf
180,2026-04-21,I-21/114/2026-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Non-automatic weighing instrument,180,24045,https://lm.doca.gov.in/ModelApproval/Certificates/2026/180.pdf
181,2026-04-21,I-21/117/2026-W&M Section,METTLER-TOLEDO INDIA PRIVATE LIMITED,Non-automatic weighing instrument,181,24044,https://lm.doca.gov.in/ModelApproval/Certificates/2026/181.pdf
182,2026-04-21,I-21/116/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,182,23400,https://lm.doca.gov.in/ModelApproval/Certificates/2026/182.pdf
183,2026-04-22,I-21/111/2026-W&M Section,GARGI INDUSTRIES,Non-automatic weighing instrument,183,23845,https://lm.doca.gov.in/ModelApproval/Certificates/2026/183.pdf
184,2026-04-22,I-21/118/2026-W&M Section,SHARP ELECTRONICS,Non-automatic weighing instrument,184,23960,https://lm.doca.gov.in/ModelApproval/Certificates/2026/184.pdf
185,2026-04-22,I-21/118/2026-W&M Section,SHARP ELECTRONICS,Non-automatic weighing instrument,185,24022,https://lm.doca.gov.in/ModelApproval/Certificates/2026/185.pdf
