serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
226,2026-05-18,I-21/128/2026-W&M Section,SHRI LAKSHMI VENKATESWARA WEIGHING SCALES,Non-automatic weighing instrument,226,24033,https://lm.doca.gov.in/ModelApproval/Certificates/2026/226.pdf
227,2026-05-18,I-21/128/2026-W&M Section,SHRI LAKSHMI VENKATESWARA WEIGHING SCALES,Non-automatic weighing instrument,227,24034,https://lm.doca.gov.in/ModelApproval/Certificates/2026/227.pdf
228,2026-05-18,I-21/128/2026-W&M Section,SHRI LAKSHMI VENKATESWARA WEIGHING SCALES,Non-automatic weighing instrument,228,24035,https://lm.doca.gov.in/ModelApproval/Certificates/2026/228.pdf
229,2026-05-18,I-21/128/2026-W&M Section,SHRI LAKSHMI VENKATESWARA WEIGHING SCALES,Non-automatic weighing instrument,229,24036,https://lm.doca.gov.in/ModelApproval/Certificates/2026/229.pdf
230,2026-05-19,I-21/102/2026-W&M Section,Suzuki Electronics,Non-automatic weighing instrument,230,23795,https://lm.doca.gov.in/ModelApproval/Certificates/2026/230.pdf
231,2026-05-19,I-21/149/2026-W&M Section,BALA TECHNOLOGY,Non-automatic weighing instrument,231,23965,https://lm.doca.gov.in/ModelApproval/Certificates/2026/231.pdf
232,2026-05-19,I-21/149/2026-W&M Section,BALA TECHNOLOGY,Non-automatic weighing instrument,232,23966,https://lm.doca.gov.in/ModelApproval/Certificates/2026/232.pdf
233,2026-05-20,I-21/148/2026-W&M Section,MAHARAJA SCALE,Non-automatic weighing instrument,233,23983,https://lm.doca.gov.in/ModelApproval/Certificates/2026/233.pdf
234,2026-05-20,I-21/110/2026-W&M Section,WEIGHING INDIA CORPORATION,Non-automatic weighing instrument,234,23953,https://lm.doca.gov.in/ModelApproval/Certificates/2026/234.pdf
235,2026-05-20,I-21/113/2026-W&M Section,"WEIGHING SCALES AND WEIGH BRIDGES MANUFACTURING,SALES,SERVICE",Non-automatic weighing instrument,235,23991,https://lm.doca.gov.in/ModelApproval/Certificates/2026/235.pdf
236,2026-05-21,I-21/124/2026-W&M Section,SHREE KRISHNA ENGINEERING WORKS,Non-automatic weighing instrument,236,23401,https://lm.doca.gov.in/ModelApproval/Certificates/2026/236.pdf
237,2026-05-21,I-21/150/2026-W&M Section,"M/s, Nirmal Industries",Non-automatic weighing instrument,237,24099,https://lm.doca.gov.in/ModelApproval/Certificates/2026/237.pdf
238,2026-05-21,I-21/150/2026-W&M Section,"M/s, Nirmal Industries",Non-automatic weighing instrument,238,24100,https://lm.doca.gov.in/ModelApproval/Certificates/2026/238.pdf
239,2026-05-21,I-21/150/2026-W&M Section,"M/s, Nirmal Industries",Non-automatic weighing instrument,239,24102,https://lm.doca.gov.in/ModelApproval/Certificates/2026/239.pdf
240,2026-05-21,I-21/152/2026-W&M Section,SHRI GANESH SALES PLAZA,Non-automatic weighing instrument,240,23954,https://lm.doca.gov.in/ModelApproval/Certificates/2026/240.pdf
241,2026-05-21,I-21/152/2026-W&M Section,SHRI GANESH SALES PLAZA,Non-automatic weighing instrument,241,23955,https://lm.doca.gov.in/ModelApproval/Certificates/2026/241.pdf
242,2026-05-21,I-21/157/2026-W&M Section,AUTOMAT INDUSTRIES PRIVATE LIMITED,Water Meter,242,24065,https://lm.doca.gov.in/ModelApproval/Certificates/2026/242.pdf
243,2026-05-21,I-21/136/2026-W&M Section,NATIONAL SCALE INDUSTRIES,Non-automatic weighing instrument,243,24049,https://lm.doca.gov.in/ModelApproval/Certificates/2026/243.pdf
244,2026-05-21,I-21/123/2026-W&M Section,SUNMAR WEIGHBRIDGE COMPANY,Non-automatic weighing instrument,244,23693,https://lm.doca.gov.in/ModelApproval/Certificates/2026/244.pdf
